Transcript,transcript_splitted,user_transcript
"TOBi: Hallo! Ich bin TOBi, wie kann ich dir helfen?||[12:31] Firstname Lastname: Hallo, ich brauche eine Bescheinigung für die Krankenkasse wegen Krankengeld.||Agent: Ich schaue nach.||Mitarbeiter: Geht das rückwirkend für den letzten Monat?","['[12:31] Firstname Lastname: Hallo, ich brauche eine Bescheinigung für die Krankenkasse wegen Krankengeld.', 'Agent: Ich schaue nach.', 'Mitarbeiter: Geht das rückwirkend für den letzten Monat?']",agent ich schaue nach
TOBi: Guten Tag!||Mitarbeiter: Wie viele Urlaubstage habe ich noch in 2024?||[13:05] Agent: Bitte einen Moment.||Mitarbeiter: Kann ich Resturlaub ins nächste Jahr übertragen?,"['Mitarbeiter: Wie viele Urlaubstage habe ich noch in 2024?', '[13:05] Agent: Bitte einen Moment.', 'Mitarbeiter: Kann ich Resturlaub ins nächste Jahr übertragen?']", agent bitte einen moment
TOBi: Willkommen im HR-Chat.||Mitarbeiter: Ich habe meine Adresse geändert. Wie aktualisiere ich das im System?||Agent: Über das Self-Service-Portal.||Mitarbeiter: Link? xx,"['Mitarbeiter: Ich habe meine Adresse geändert. Wie aktualisiere ich das im System?', 'Agent: Über das Self-Service-Portal.', 'Mitarbeiter: Link? xx']",agent über das selfserviceportal
TOBi: Hallo!||Mitarbeiter: Ich brauche eine Arbeitsbescheinigung für die Bank.||[08:11] Agent: Für welchen Zeitraum?||Mitarbeiter: 01.01 bis 31.03,"['Mitarbeiter: Ich brauche eine Arbeitsbescheinigung für die Bank.', '[08:11] Agent: Für welchen Zeitraum?', 'Mitarbeiter: 01.01 bis 31.03']", agent für welchen zeitraum
TOBi: Wie kann ich helfen?||Mitarbeiter: Ich habe Fragen zur Elternzeit und Elterngeld.||Agent: Ab wann geplant?||Mitarbeiter: Geburt voraussichtlich [2025-10-01].,"['Mitarbeiter: Ich habe Fragen zur Elternzeit und Elterngeld.', 'Agent: Ab wann geplant?', 'Mitarbeiter: Geburt voraussichtlich [2025-10-01].']",agent ab wann geplant
TOBi: Willkommen!||Mitarbeiter: Wie melde ich mich krank? Brauche ich eine AU ab dem 1. Tag?||Agent: Ab dem 3. Kalendertag.||Mitarbeiter: Wo lade ich die AU hoch?,"['Mitarbeiter: Wie melde ich mich krank? Brauche ich eine AU ab dem 1. Tag?', 'Agent: Ab dem 3. Kalendertag.', 'Mitarbeiter: Wo lade ich die AU hoch?']",agent ab dem  kalendertag
"TOBi: Hallo!||Mitarbeiter: Meine Gehaltsabrechnung fehlt für Juli.||Agent: Hast du die E-Mail mit der Abrechnung erhalten?||Mitarbeiter: Nein, bitte an +XX (X) XXX XXX XXXX senden.","['Mitarbeiter: Meine Gehaltsabrechnung fehlt für Juli.', 'Agent: Hast du die E-Mail mit der Abrechnung erhalten?', 'Mitarbeiter: Nein, bitte an +XX (X) XXX XXX XXXX senden.']",agent hast du die email mit der abrechnung erhalten
TOBi: Guten Tag!||Mitarbeiter: Wie beantrage ich Bildungsurlaub?||Agent: Über das LMS-Portal.||Mitarbeiter: Gibt es Fristen?,"['Mitarbeiter: Wie beantrage ich Bildungsurlaub?', 'Agent: Über das LMS-Portal.', 'Mitarbeiter: Gibt es Fristen?']",agent über das lmsportal
TOBi: Willkommen im Chat.||Mitarbeiter: Wie viele Stunden gelten bei Teilzeit 60%?||Agent: 24h/Woche.||Mitarbeiter: Kann ich die Lage der Arbeitszeit anpassen?,"['Mitarbeiter: Wie viele Stunden gelten bei Teilzeit 60%?', 'Agent: 24h/Woche.', 'Mitarbeiter: Kann ich die Lage der Arbeitszeit anpassen?']",agent hwoche
TOBi: Hallo!||Mitarbeiter: Ich möchte meinen Arbeitsvertrag verlängern. An wen wende ich mich?||Agent: An HR Operations.||Mitarbeiter: E-Mail-Adresse? xx,"['Mitarbeiter: Ich möchte meinen Arbeitsvertrag verlängern. An wen wende ich mich?', 'Agent: An HR Operations.', 'Mitarbeiter: E-Mail-Adresse? xx']",agent an hr operations
"TOBi: Guten Tag!||Mitarbeiter: Gibt es eine Betriebsrente und wie trete ich bei?||Agent: Ja, über den Anbieter XY.||Mitarbeiter: Ist Eigenbeitrag möglich?","['Mitarbeiter: Gibt es eine Betriebsrente und wie trete ich bei?', 'Agent: Ja, über den Anbieter XY.', 'Mitarbeiter: Ist Eigenbeitrag möglich?']",agent ja über den anbieter xy
TOBi: Hallo!||Mitarbeiter: Wie buche ich Überstunden ab?||Agent: Über das Zeiterfassungstool.||Mitarbeiter: Kann ich Stunden in Freizeit umwandeln?,"['Mitarbeiter: Wie buche ich Überstunden ab?', 'Agent: Über das Zeiterfassungstool.', 'Mitarbeiter: Kann ich Stunden in Freizeit umwandeln?']",agent über das zeiterfassungstool
